reach_time,algo_time,percentage
73.2989,7294.1632,0.0100
73.2990,7294.5780,0.0100
73.2990,7294.9952,0.0100
73.2990,7307.8587,0.0100
73.2990,7308.7555,0.0100
73.2990,7322.6955,0.0100
73.2991,7335.1576,0.0100
73.2991,7335.5729,0.0100
73.2991,7350.1966,0.0100
73.2991,7364.3735,0.0100
73.2991,7377.3020,0.0099
73.2991,7404.3087,0.0099
73.2992,7433.1832,0.0099
73.2992,7446.7498,0.0098
73.2992,7447.1763,0.0098
73.2992,7460.7469,0.0098
73.2992,7490.2402,0.0098
73.2993,7504.0421,0.0098
73.2993,7517.3984,0.0098
73.2993,7530.3374,0.0097
73.2993,7531.1981,0.0097
73.2993,7531.6313,0.0097
73.2994,7545.1729,0.0097
73.2994,7545.6846,0.0097
73.2994,7546.1178,0.0097
73.2994,7546.5476,0.0097
73.2994,7561.2062,0.0097
73.2994,7587.5146,0.0097
73.2995,7587.9469,0.0097
73.2995,7600.7593,0.0096
73.2995,7629.5394,0.0096
73.2995,7642.3187,0.0096
73.2995,7642.7539,0.0096
73.2996,7643.1898,0.0096
73.2996,7670.3636,0.0096
73.2996,7670.8046,0.0096
73.2996,7683.4279,0.0095
73.2996,7699.4599,0.0095
73.2997,7700.3327,0.0095
73.2997,7713.0091,0.0095
73.2997,7740.7138,0.0095
73.2997,7741.1558,0.0095
73.2997,7768.8031,0.0094
73.2997,7769.2506,0.0094
73.2998,7783.1623,0.0094
73.2998,7795.8016,0.0094
73.2998,7809.1406,0.0094
73.2998,7809.5829,0.0094
73.2998,7837.9331,0.0094
73.2999,7850.8905,0.0093
73.2999,7864.4667,0.0093
73.2999,7864.9159,0.0093
73.2999,7865.3658,0.0093
73.2999,7878.6580,0.0093
73.2999,7906.5112,0.0093
73.3000,7907.0309,0.0093
73.3000,7907.4831,0.0093
73.3000,7920.7887,0.0093
73.3000,7933.4694,0.0092
73.3000,7934.0070,0.0092
73.3001,7934.4687,0.0092
73.3001,7946.6562,0.0092
73.3001,7947.1880,0.0092
73.3001,7948.1183,0.0092
73.3001,7976.2551,0.0092
73.3002,7976.7947,0.0092
73.3002,7990.4473,0.0092
73.3002,7990.9164,0.0092
73.3002,7991.3799,0.0092
73.3002,8018.4416,0.0091
73.3002,8019.3748,0.0091
73.3003,8033.0325,0.0091
73.3003,8033.5007,0.0091
73.3003,8033.9540,0.0091
73.3003,8048.5698,0.0091
73.3003,8049.0344,0.0091
73.3004,8089.4649,0.0091
73.3004,8118.0545,0.0090
73.3004,8132.2889,0.0090
73.3004,8158.8211,0.0090
73.3004,8159.2965,0.0090
73.3005,8159.7670,0.0090
73.3005,8172.8879,0.0090
73.3005,8173.3693,0.0090
73.3005,8173.8438,0.0090
73.3005,8201.7695,0.0089
73.3006,8227.7722,0.0089
73.3006,8257.7836,0.0089
73.3006,8258.2654,0.0089
73.3006,8271.3766,0.0089
73.3006,8297.5583,0.0088
73.3007,8298.0422,0.0088
73.3007,8326.0168,0.0088
73.3007,8352.9623,0.0088
73.3007,8353.4483,0.0088
73.3007,8367.1092,0.0088
73.3007,8380.1511,0.0087
73.3008,8380.7123,0.0087
73.3008,8381.1980,0.0087
73.3008,8410.1134,0.0087
73.3008,8436.3959,0.0087
73.3008,8436.8862,0.0087
73.3009,8450.1744,0.0087
73.3009,8450.6706,0.0087
73.3009,8479.3192,0.0086
73.3009,8479.8184,0.0086
73.3009,8505.8603,0.0086
73.3009,8506.3548,0.0086
73.3010,8535.4237,0.0086
73.3010,8535.9948,0.0086
73.3010,8536.4901,0.0086
73.3010,8549.9114,0.0086
73.3010,8589.8504,0.0085
73.3011,8590.3514,0.0085
73.3011,8604.9644,0.0085
73.3011,8619.1979,0.0085
73.3011,8631.9936,0.0085
73.3011,8658.2974,0.0085
73.3011,8659.3903,0.0085
73.3012,8659.8949,0.0085
73.3012,8701.5556,0.0084
73.3012,8715.2904,0.0084
73.3012,8716.7960,0.0084
73.3012,8729.4641,0.0084
73.3013,8745.4187,0.0084
73.3013,8783.4591,0.0083
73.3013,8783.9877,0.0083
73.3013,8796.9716,0.0083
73.3013,8813.2895,0.0083
73.3013,8813.8869,0.0083
73.3014,8827.5823,0.0083
73.3014,8828.1110,0.0083
73.3014,8840.7425,0.0083
73.3014,8854.2290,0.0083
73.3014,8867.1771,0.0083
73.3015,8867.7874,0.0083
73.3015,8897.0151,0.0082
73.3015,8897.5459,0.0082
73.3015,8910.6152,0.0082
73.3015,8923.8069,0.0082
73.3015,8938.1227,0.0082
73.3016,8954.1304,0.0082
73.3016,8954.6676,0.0082
73.3016,8968.3338,0.0082
73.3016,8981.2699,0.0082
73.3016,8981.8844,0.0082
73.3017,9024.3381,0.0081
73.3017,9024.8722,0.0081
73.3017,9050.9063,0.0081
